month,day,trips,avg_fare,avg_distance
1,1,25045,16.834786584142822,3.581000199640645
1,2,34311,16.810197312808267,3.4420477397918767
1,3,26349,18.135228281901743,9.748678887244314
1,4,44545,16.52404691884613,3.88908811314402
1,5,46882,15.782371059255297,4.0477895567595095
1,6,49547,15.440417986963839,4.861730276303321
1,7,50290,15.687756412808715,3.8851988466891942
1,8,50479,15.330043384380067,3.7928883298005083
1,9,39915,15.440923462352332,5.16433721658525
1,10,29855,16.49682230781445,5.1587546474627635
1,11,46852,15.51596538034626,5.784149662767862
1,12,50133,15.39209861767911,2.7648064149362765
1,13,51306,15.108982770048602,5.87470061981058
1,14,53051,15.50000094249389,4.2325060790559945
1,15,53024,15.489370285158694,2.7767162039831037
1,16,38723,15.290466131233,9.634064767709114
1,17,31988,15.970446730016802,3.2601350506440054
1,18,37092,15.598004960631567,3.056818451418082
1,19,51149,15.527922149018984,3.7831504037224537
1,20,49437,15.107212816312718,5.550782814491197
1,21,53280,15.589102665170541,3.2316199324324164
1,22,54288,15.354485153262162,2.6968254494547272
1,23,42055,14.743834026864869,2.764289858518594
1,24,31034,15.887174067145365,3.2429622349681115
1,25,47423,15.536505071378514,2.7990928452438606
1,26,47818,15.07007298506758,5.300479108285586
1,27,52655,15.184668882351456,2.630663944544687
1,28,56444,15.175878924249885,8.427085252639825
1,29,54603,15.185083786610509,9.79466036664651
1,30,39238,14.892215709254351,2.789055762271264
1,31,31193,15.370319943570447,6.683000352643211
2,1,6808,17.468835193890722,3.094908930669792
2,2,29178,15.400856124471385,2.8999026663924936
2,3,55440,16.09228481241831,6.115696428571453
2,4,59326,16.83164632708493,2.7725260425446137
2,5,57770,16.134815648269267,4.333692400900141
2,6,49987,15.062706703746322,2.7323992237981725
2,7,27490,15.641489268819017,11.52385922153514
2,8,51729,15.870600243581325,9.453530514798276
2,9,52733,15.660430280853287,2.703709252270889
2,10,57855,16.048980727689386,2.7000736323567507
2,11,58625,15.650039914720995,2.7048544136460473
2,12,63613,15.860468772118045,3.2708374074481434
2,13,48355,14.951255092546223,7.389226346810046
2,14,39672,15.536704476703575,3.0034686932849386
2,15,40323,15.42499938000078,2.9951585943506034
2,16,51211,15.980531526434085,7.194345941301666
2,17,60166,15.741549380058215,5.1002936874646805
2,18,38121,15.264186406435941,2.76659898743476
2,19,53029,15.048226442140194,2.711741688510061
2,20,51343,14.885276084377624,7.367038739458184
2,21,37121,15.837628835422896,3.151684221869025
2,22,50700,15.728275345170545,2.8220743589743558
2,23,57160,15.664990027999185,2.7330110216934957
2,24,59969,15.800320498934198,4.818838900098395
2,25,61984,15.99028959087307,2.7459970314920192
2,26,65394,15.827711869603116,4.585371134966487
2,27,48980,15.060627603105663,2.83829910167414
2,28,37619,15.9069884898523,5.101262394003019
3,1,54838,15.853924468440832,9.14988037492251
3,2,61843,15.375751984874986,4.144927154245413
3,3,63297,15.601900406032883,3.4575433274878926
3,4,67141,15.392670946230412,4.924509167274833
3,5,69582,15.656924779411236,2.764025322640915
3,6,55004,14.886517344199982,4.503537742709608
3,7,38947,16.113932523680816,3.2374347189770747
3,8,56282,15.884329981173375,7.327154863011261
3,9,62056,15.639888326683025,5.152638584504351
3,10,64635,15.723042778692262,4.511412392666511
3,11,68222,15.826795608468572,4.125038990355023
3,12,71716,15.961260945969123,3.5827864074962252
3,13,60871,15.197665062191858,2.9146738184028393
3,14,43966,15.899179820769753,3.1476149752080955
3,15,61407,15.661007051323546,7.719605419577606
3,16,65479,15.597270422590062,4.627389697460226
3,17,71510,15.367573066718405,5.342838204446938
3,18,71539,21.205112735734897,5.373893400802395
3,19,74427,15.621415884036653,3.49798137772582
3,20,61538,15.474212356604776,4.00779940849554
3,21,45124,16.581526682033598,3.3174820494636914
3,22,59959,16.25816991611929,5.658548674927885
3,23,63548,15.810802385610124,4.843450462642418
